X,Y,NAME
240235.8006,889911.327399999,Newport Ave @ Lillian Rd
237452.713600002,889920.564399999,Brook Rd @ Governors Rd
228104.643600002,889923.866500001,Washington St @ Birchwood St
243317.006,889925.817899998,Palmer St opp Oakwood Rd
237471.2042,889929.513599999,Brook Rd @ Governors Rd
243299.302100003,889930.151299998,Palmer St @ Oakwood Rd
229250.682,889930.602699999,W Boundary Rd @ Georgetowne Dr
230859.207500003,889932.527100001,Austin St @ Chestnut St
229253.477899998,889937.406199999,W Boundary Rd @ Georgetowne Dr
238647.044699997,889938.762400001,Beale St @ Forbes Hill Rd
243244.197499998,889941.205699999,Palmer St opp Wilgus Rd
237805.611400001,889954.590799998,Granite Ave @ Bassett St
234284.668899998,889955.5112,Brook Rd @ Lincoln St
237612.082599998,889963.327100001,Adams St @ Babcock St
240485.047200002,889963.684099998,Hancock St opp Carruth St
237590.111699998,889974.1391,Adams St opp Brook Rd
234582.8671,889978.3402,Central Ave opp Rustlewood Rd
240474.268700004,889981.316500001,Hancock St @ Carruth St
234586.275899999,889998.899599999,Central Ave @ Rustlewood Rd
238712.458400004,890009.669399999,Beale St @ Summit Ave
240151.789300002,890017.871399999,Newport Ave @ George Rd
238726.786799997,890017.912700001,385 Beale St opp Summit Ave
236117.960100003,892378.271299999,Gallivan Blvd @ Huron Circle
230218.723800004,892381.725,Washington St @ Metropolitan Ave
237281.145599999,892385.100200001,Hilltop St @ Hallet St
228069.937399998,892385.624899998,Lagrange St @ Dent St
228069.937399998,892385.624899998,Lagrange St opp Dent St
235392.346900001,892387.302499998,Washington St @ Coolidge Rd
230231.098300003,892397.3246,Washington St @ Metropolitan Ave
238286.065899998,892398.2852,Newport Ave @ Hancock St
237296.223899998,892398.501699999,Hallet St @ Hilltop St
235386.321400002,892405.690400001,Washington St @ Ogden St
227311.056100003,892420.1325,Baker St @ Amesbury St
234052.018,892433.464600001,Morton St @ Norfolk St
231150.204099998,892434.056899998,Cummins Hwy @ Brown Ave
234068.582500003,892437.2489,Norfolk St @ Morton St
234056.825599998,892443.948199999,Morton St @ Norfolk St
239253.1149,892444.106,E Squantum St @ Appleton St
231134.925800003,892447.333900001,Cummins Hwy @ Brown Ave
236290.446500003,892450.053199999,Gallivan Blvd opp Carruth St
228226.855099998,892450.745499998,Opp 2000 Centre St
228831.339599997,892456.465,Park St @ Gilmore Terr
236308.843599997,892457.500300001,Gallivan Blvd @ Carruth St
227296.552599996,892457.750700001,Baker St @ Rumford Rd
228825.175099999,892460.984700002,230 Park St opp Gilmore Terr
239249.424500003,892464.4859,E Squantum St @ Holyoke St
235366.171400003,892469.784299999,Washington St @ Fuller St
230288.209700003,892470.145,Washington St @ Rosecliff St
238298.418899998,892470.218600001,Hancock St @ Neponset River Bridge
