X,Y,STATION,LINE,TERMINUS,ROUTE
231387.273900002,902684.016,Harvard,RED,N,A - Ashmont  B - Braintree  C - Alewife
234087.917300001,901406.550900001,Kendall/MIT,RED,N,A - Ashmont  B - Braintree  C - Alewife
234055.4375,890869.3748,Capen Street,RED,N,Mattapan Trolley
235900.3235,899934.313299999,Tufts Medical Center,ORANGE,N,Forest Hills to Oak Grove
222197.281,897300.437399998,Waban,GREEN,N,D - Riverside
233324.504799999,899912.392,Kenmore,GREEN,N,B C D
235346.129600003,900230.1305,Arlington,GREEN,N,B C D E
234771.590899996,900020.564800002,Copley,GREEN,N,B C D E
235871.674599998,900371.9597,Boylston,GREEN,N,B C D E
236038.541,900312.033599999,Chinatown,ORANGE,N,Forest Hills to Oak Grove
236422.388400003,901424.6153,Haymarket,GREEN/ORANGE,N,GREEN D E / ORANGE Forest Hills to Oak Grove
236245.293300003,901720.4166,North Station,GREEN/ORANGE,N,GREEN D E / ORANGE Forest Hills to Oak Grove
231102.0044,905206.742400002,Davis,RED,N,A - Ashmont  B - Braintree  C - Alewife
236648.878300004,900328.3915,South Station,RED,N,A - Ashmont  B - Braintree  C - Alewife
235311.661700003,909753.448600002,Oak Grove,ORANGE,Y,Forest Hills to Oak Grove
235030.660099998,908538.644699998,Malden Center,ORANGE,N,Forest Hills to Oak Grove
234813.740099996,905778.246800002,Wellington,ORANGE,N,Forest Hills to Oak Grove
234838.651199996,903840.860399999,Sullivan Square,ORANGE,N,Forest Hills to Oak Grove
235387.406599998,902689.575800002,Community College,ORANGE,N,Forest Hills to Oak Grove
234827.397200003,902354.6237,Lechmere,GREEN,Y,E - Lechmere
235605.101800002,901894.721,Science Park/West End,GREEN,N,E - Lechmere
236094.837499999,901277.215599999,Bowdoin,BLUE,Y,Bowdoin to Wonderland
236291.832500003,901071.163800001,Government Center,BLUE/GREEN,N,BLUE Bowdoin to Wonderland / GREEN B C D E
236911.215800002,901098.867800001,Aquarium,BLUE,N,Bowdoin to Wonderland
237923.629,902156.8409,Maverick,BLUE,N,Bowdoin to Wonderland
238690.904899999,902757.486400001,Airport,BLUE,N,Bowdoin to Wonderland
239289.852600001,903347.833299998,Wood Island,BLUE,N,Bowdoin to Wonderland
240777.104199998,904155.4366,Orient Heights,BLUE,N,Bowdoin to Wonderland
241404.362,904565.081599999,Suffolk Downs,BLUE,N,Bowdoin to Wonderland
241780.093199998,905317.6697,Beachmont,BLUE,N,Bowdoin to Wonderland
241775.462,906494.061700001,Revere Beach,BLUE,N,Bowdoin to Wonderland
241840.821500003,907115.508499999,Wonderland,BLUE,Y,Bowdoin to Wonderland
229468.582099997,905129.626499999,Alewife,RED,Y,A - Ashmont  B - Braintree  C - Alewife
231363.042300001,904271.357,Porter,RED,N,A - Ashmont  B - Braintree  C - Alewife
232633.773800001,901735.6127,Central,RED,N,A - Ashmont  B - Braintree  C - Alewife
235333.379299998,901274.108800001,Charles/MGH,RED,N,A - Ashmont  B - Braintree  C - Alewife
236490.007299997,899215.530400001,Broadway,RED,N,A - Ashmont  B - Braintree  C - Alewife
236513.062299997,897830.682300001,Andrew,RED,N,A - Ashmont  B - Braintree  C - Alewife
236799.385300003,895681.1182,Savin Hill,RED,N,A - Ashmont  C - Alewife
236122.573,894483.9538,Fields Corner,RED,N,A - Ashmont  C - Alewife
235804.480700001,893716.545299999,Shawmut,RED,N,A - Ashmont  C - Alewife
236266.760300003,892211.840500001,Cedar Grove,RED,N,Mattapan Trolley
236093.264799997,891419.730900001,Butler,RED,N,Mattapan Trolley
235700.793399997,891185.6609,Milton,RED,N,Mattapan Trolley
235175.716499999,891145.035599999,Central Avenue,RED,N,Mattapan Trolley
234525.357100002,890957.5077,Valley Road,RED,N,Mattapan Trolley
233617.592799999,890862.695700001,Mattapan,RED,Y,Mattapan Trolley
238733.100100003,891829.2,North Quincy,RED,N,B - Braintree  C - Alewife
239555.497400001,890804.4734,Wollaston,RED,N,B - Braintree  C - Alewife
240794.3455,889187.305599999,Quincy Center,RED,N,B - Braintree  C - Alewife
240699.075099997,887099.266399998,Quincy Adams,RED,N,B - Braintree  C - Alewife
241148.211800002,884240.967599999,Braintree,RED,Y,B - Braintree  C - Alewife
231812.379900001,894548.624,Forest Hills,ORANGE,Y,Forest Hills to Oak Grove
232313.343099996,895564.76,Green Street,ORANGE,N,Forest Hills to Oak Grove
232607.926299997,896365.990400001,Stony Brook,ORANGE,N,Forest Hills to Oak Grove
232976.443,897042.149,Jackson Square,ORANGE,N,Forest Hills to Oak Grove
233828.353399999,898545.1327,Ruggles,ORANGE,N,Forest Hills to Oak Grove
234267.626400001,899029.363200001,Massachusetts Ave,ORANGE,N,Forest Hills to Oak Grove
235009.306,899760.878600001,Back Bay,ORANGE,N,Forest Hills to Oak Grove
234508.247500002,899559.4619,Prudential,GREEN,N,E - Health Street
234201.604800001,899219.423300002,Symphony,GREEN,N,E - Health Street
233814.803199999,898921.007300001,Northeastern,GREEN,N,E - Health Street
233377.202600002,898682.8211,Museum Of Fine Arts,GREEN,N,E - Health Street
233000.299500003,898482.8649,Longwood Medical Area,GREEN,N,E - Health Street
